NAME,Price (in INR),Discount,Description,Original Price Claimed(in INR)
Duke,556,30% off,"Printed Men Round Neck Grey, Orange T-Shirt",794.2857142857143
Kay Dee,277,72% off,Solid Men Hooded Grey T-Shirt,989.2857142857143
Try This,359,64% off,Solid Men Turtle Neck Black T-Shirt,997.2222222222222
NB NICKY BOY,269,75% off,Printed Men Round Neck Reversible White T-Shirt,1076.0
Nike,"1,036",35% off,Striped Men Round Neck Orange T-Shirt,1593.8461538461538
Shally,202,59% off,Printed Men Round Neck White T-Shirt,492.6829268292683
Elepants,299,66% off,Graphic Print Men Round or Crew Orange T-Shirt,879.4117647058823
Fabstone Collection,274,54% off,Solid Men Hooded Blue T-Shirt,595.6521739130435
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,996.0
Kay Dee,279,76% off,Solid Men Hooded Dark Blue T-Shirt,1162.5
Diwazzo,254,68% off,Solid Men Round Neck Maroon T-Shirt,793.75
Peppyzone,445,55% off,Military Camouflage Men Round Neck Multicolor T-Shirt,988.8888888888889
UZEE,247,75% off,Printed Men Round Neck Yellow T-Shirt,988.0
GHPC,399,60% off,Color block Men Hooded Dark Blue T-Shirt,997.5
GESPO,301,69% off,Graphic Print Men Round or Crew White T-Shirt,970.9677419354839
Duke,599,40% off,Striped Men Polo Neck Multicolor T-Shirt,998.3333333333334
Black Collection,479,65% off,Solid Men Turtle Neck Black T-Shirt,1368.5714285714287
UZEE,261,73% off,Printed Men Round Neck Pink T-Shirt,966.6666666666666
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1398.5714285714287
Levi's,499,50% off,Printed Men Round or Crew Maroon T-Shirt,998.0
Try This,452,65% off,"Solid Men Polo Neck Black, White T-Shirt",1291.4285714285713
Yes'No,199,80% off,Solid Men Hooded Neck Black T-Shirt,995.0
Wildcraft,607,55% off,Solid Men High Neck Purple T-Shirt,1348.888888888889
Helmont,233,76% off,Striped Men Hooded Neck Maroon T-Shirt,970.8333333333334
Billion,489,65% off,"PerfectFit Solid Men Round or Crew Grey, White T-Shirt",1397.142857142857
Rebozo,270,69% off,Striped Men Round Neck Red T-Shirt,870.9677419354839
Elepants,260,78% off,"Color Block Men Round Neck Black, White T-Shirt",1181.8181818181818
diwazzo,254,74% off,Solid Men Round Neck Blue T-Shirt,976.9230769230769
NB NICKY BOY,269,75% off,Printed Men Round Neck Reversible White T-Shirt,1076.0
GHPC,349,65% off,Color block Men Round or Crew Dark Blue T-Shirt,997.1428571428571
Dillinger,296,67% off,Striped Men Round Neck Grey T-Shirt,896.969696969697
Gritstones,399,60% off,Color block Men Hooded Green T-Shirt,997.5
Arrow Sport,899,50% off,Striped Men Polo Neck Dark Blue T-Shirt,1798.0
Maniac,271,68% off,"Solid Men Round or Crew Black, Grey T-Shirt",846.875
Duke,556,30% off,"Printed Men Round Neck Grey, Orange T-Shirt",794.2857142857143
MARKS & SPENCER,748,25% off,Solid Men Polo Neck Blue T-Shirt,997.3333333333334
MoochSingh,246,75% off,Solid Men Round Neck White T-Shirt,984.0
Kay Dee,277,72% off,"Color block Men Hooded Maroon, Black T-Shirt",989.2857142857143
Canis,189,68% off,Graphic Print Men Round or Crew Multicolor T-Shirt,590.625
Black Collection,463,57% off,Printed Men High Neck Multicolor T-Shirt,1076.7441860465117
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1398.5714285714287
Metronaut,279,65% off,Printed Men Round Neck Black T-Shirt,797.1428571428571
FANNZILA,135,83% off,Printed Men Round Neck White T-Shirt,794.1176470588235
Fabstone Collection,248,58% off,Color block Men Round or Crew Maroon T-Shirt,590.4761904761905
Tripr,288,67% off,Graphic Print Men Round or Crew Dark Blue T-Shirt,872.7272727272727
Arrow Sport,558,57% off,Solid Men Polo Neck Pink T-Shirt,1297.6744186046512
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,996.0
Gritstones,333,62% off,"Solid Men Hooded Black, Maroon T-Shirt",876.3157894736842
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",697.8723404255319
Fabstone Collection,248,58% off,"Color block Men Round or Crew Black, Grey T-Shirt",590.4761904761905
SHAPPHR,242,84% off,"Color block Men Hooded Black, Red T-Shirt",1512.5
COBIO MAN,299,70% off,Graphic Print Men Round or Crew Red T-Shirt,996.6666666666666
Duke,796,20% off,Printed Men Round Neck Multicolor T-Shirt,995.0
SCATCHITE,679,77% off,Checkered Men Round Neck White T-Shirt,2952.1739130434785
